journal_id,journal_index_date,code_group,amount_journal,kartu_piutang_id,amount_kartu_piutang,kartu_piutang_index_date
103593,26010110330001,120001,14414.00,25706,14414.00,260101103300001
103597,26010110330002,120001,9009.00,25707,9009.00,260101103300002
103601,26010110330003,120001,9009.00,25708,9009.00,260101103300003
103605,26010110330004,120001,3568.00,25709,3568.00,260101103300004
359048,26010110330005,120001,-36000.00,114032,-36000.00,260101103300006
42978,26010110340001,120001,3604.00,4691,3604.00,260101103400001
42982,26010110340002,120001,396.00,4692,396.00,260101103400002
103609,26010110340004,120001,40541.00,25711,40541.00,260101103400004
103613,26010110340005,120001,4459.00,25712,4459.00,260101103400005
347242,26010110340007,120001,-4000.00,108177,-4000.00,260101103400007
359050,26010110340008,120001,-45000.00,114033,-45000.00,260101103400008
42986,26010110350001,120001,21622.00,4694,21622.00,260101103500001
42990,26010110350002,120001,8108.00,4695,8108.00,260101103500002
42994,26010110350003,120001,3270.00,4696,3270.00,260101103500003
103617,26010110350005,120001,3604.00,25714,3604.00,260101103500005
103621,26010110350006,120001,396.00,25715,396.00,260101103500006
347244,26010110350008,120001,-33000.00,108178,-33000.00,260101103500008
359052,26010110350009,120001,-4000.00,114034,-4000.00,260101103500009
42998,26010110360001,120001,18018.00,4698,18018.00,260101103600001
43002,26010110360002,120001,1982.00,4699,1982.00,260101103600002
75216,26010110360004,120001,19820.00,15807,19820.00,260101103600004
75220,26010110360005,120001,2180.00,15808,2180.00,260101103600005
347246,26010110360007,120001,-20000.00,108179,-20000.00,260101103600007
353226,26010110360008,120001,-22000.00,111126,-22000.00,260101103600008
103625,26010110380001,120001,7658.00,25717,7658.00,260101103800001
103629,26010110380002,120001,842.00,25718,842.00,260101103800002
359054,26010110380003,120001,-8500.00,114035,-8500.00,260101103800004
43006,26010110390001,120001,9009.00,4701,9009.00,260101103900001
43010,26010110390002,120001,2703.00,4702,2703.00,260101103900002
43014,26010110390003,120001,6306.00,4703,6306.00,260101103900003
43018,26010110390004,120001,1982.00,4704,1982.00,260101103900004
347248,26010110390005,120001,-20000.00,108180,-20000.00,260101103900006
103633,26010110400001,120001,9910.00,25720,9910.00,260101104000001
103637,26010110400002,120001,1090.00,25721,1090.00,260101104000002
359056,26010110400003,120001,-11000.00,114036,-11000.00,260101104000004
43022,26010110410001,120001,54054.00,4706,54054.00,260101104100001
43026,26010110410002,120001,16216.00,4707,16216.00,260101104100002
43030,26010110410003,120001,14414.00,4708,14414.00,260101104100003
43034,26010110410004,120001,9316.00,4709,9316.00,260101104100004
103641,26010110410006,120001,11712.00,25723,11712.00,260101104100006
103645,26010110410007,120001,1288.00,25724,1288.00,260101104100007
347250,26010110410009,120001,-94000.00,108181,-94000.00,260101104100009
359058,26010110410010,120001,-13000.00,114037,-13000.00,260101104100010
103649,26010110460001,120001,17117.00,25726,17117.00,260101104600001
103653,26010110460002,120001,1883.00,25727,1883.00,260101104600002
359060,26010110460003,120001,-19000.00,114038,-19000.00,260101104600004
103657,26010110530001,120001,54054.00,25729,54054.00,260101105300001
103661,26010110530002,120001,9459.00,25730,9459.00,260101105300002
103665,26010110530003,120001,18018.00,25731,18018.00,260101105300003
103669,26010110530004,120001,6757.00,25732,6757.00,260101105300004
103673,26010110530005,120001,9712.00,25733,9712.00,260101105300005
359062,26010110530006,120001,-98000.00,114039,-98000.00,260101105300007
43040,26010110570001,120001,18919.00,4712,18919.00,260101105700001
43044,26010110570002,120001,8108.00,4713,8108.00,260101105700002
43048,26010110570003,120001,2973.00,4714,2973.00,260101105700003
347254,26010110570004,120001,-30000.00,108183,-30000.00,260101105700005
103677,26010111000001,120001,15315.00,25735,15315.00,260101110000001
103681,26010111000002,120001,27027.00,25736,27027.00,260101110000002
103685,26010111000003,120001,4658.00,25737,4658.00,260101110000003
359064,26010111000004,120001,-47000.00,114040,-47000.00,260101110000005
864570,26010111060001,120001,24324.00,294721,24324.00,260101110600001
864574,26010111060002,120001,2676.00,294722,2676.00,260101110600002
864577,26010111060003,120001,-27000.00,294723,-27000.00,260101110600003
43070,26010111100001,120001,7658.00,4721,7658.00,260101111000001
43074,26010111100002,120001,842.00,4722,842.00,260101111000002
347258,26010111100003,120001,-8500.00,108185,-8500.00,260101111000004
103689,26010111110001,120001,40541.00,25739,40541.00,260101111100001
103693,26010111110002,120001,4459.00,25740,4459.00,260101111100002
359066,26010111110003,120001,-45000.00,114041,-45000.00,260101111100004
43078,26010111140001,120001,27027.00,4724,27027.00,260101111400001
43082,26010111140002,120001,30631.00,4725,30631.00,260101111400002
43086,26010111140003,120001,6342.00,4726,6342.00,260101111400003
43090,26010111140005,120001,10811.00,4728,10811.00,260101111400005
43094,26010111140006,120001,1189.00,4729,1189.00,260101111400006
103697,26010111140008,120001,10811.00,25742,10811.00,260101111400008
103701,26010111140009,120001,1189.00,25743,1189.00,260101111400009
347260,26010111140011,120001,-64000.00,108186,-64000.00,260101111400011
347262,26010111140012,120001,-12000.00,108187,-12000.00,260101111400012
359068,26010111140013,120001,-12000.00,114042,-12000.00,260101111400013
43098,26010111160001,120001,25225.00,4731,25225.00,260101111600001
43102,26010111160002,120001,9009.00,4732,9009.00,260101111600002
43106,26010111160003,120001,4955.00,4733,4955.00,260101111600003
43110,26010111160004,120001,4311.00,4734,4311.00,260101111600004
